"ANIMALID","DATE","LONGITUDE","LATITUDE","DELETED"
"M2","2011-07-01 03:30:56.000","145.392021","-15.938044","FALSE"
"M2","2011-07-01 04:00:09.000","145.392147","-15.937292","FALSE"
"M2","2011-07-01 04:30:19.000","145.389318","-15.93481","FALSE"
"M2","2011-07-01 05:00:59.000","145.388602","-15.934478","FALSE"
"M2","2011-07-01 05:30:46.000","145.388486","-15.934732","FALSE"
"M2","2011-07-01 06:30:38.000","145.386028","-15.935431","FALSE"
"M2","2011-07-01 21:00:54.000","145.385423","-15.933298","FALSE"
"M2","2011-07-01 21:31:01.000","145.384337","-15.931104","FALSE"
"M2","2011-07-02 02:01:01.000","145.381731","-15.925698","FALSE"
"M2","2011-07-02 04:00:57.000","145.378454","-15.930433","FALSE"
"M2","2011-07-02 04:31:01.000","145.378205","-15.930259","FALSE"
"M2","2011-07-02 05:30:48.000","145.378133","-15.930212","FALSE"
"M2","2011-07-02 06:30:38.000","145.378122","-15.930069","FALSE"
"M2","2011-07-02 08:00:34.000","145.378004","-15.930166","FALSE"
"M2","2011-07-02 20:30:23.000","145.377796","-15.930772","FALSE"
"M2","2011-07-02 21:30:39.000","145.374772","-15.931192","FALSE"
"M2","2011-07-03 02:00:49.000","145.362386","-15.926609","FALSE"
"M2","2011-07-03 03:30:13.000","145.358024","-15.926441","FALSE"
"M2","2011-07-03 21:31:01.000","145.358637","-15.927721","FALSE"
"M2","2011-07-04 02:01:01.000","145.360655","-15.930206","FALSE"
"M2","2011-07-04 22:30:45.000","145.368884","-15.931218","FALSE"
"M2","2011-07-04 23:00:41.000","145.372123","-15.931724","FALSE"
"M2","2011-07-05 00:00:53.000","145.372297","-15.931464","FALSE"
"M2","2011-07-05 00:30:22.000","145.370566","-15.929293","FALSE"
"M2","2011-07-06 03:00:54.000","145.360604","-15.930194","FALSE"
"M2","2011-07-06 03:30:46.000","145.360419","-15.930219","FALSE"
"M2","2011-07-06 04:30:43.000","145.360492","-15.930026","FALSE"
"M2","2011-07-07 00:31:01.000","145.387013","-15.938989","FALSE"
"M2","2011-07-07 06:01:01.000","145.394333","-15.940268","FALSE"
"M2","2011-07-07 21:30:38.000","145.397998","-15.941037","FALSE"
"M2","2011-07-08 06:00:57.000","145.405916","-15.944565","FALSE"
